full_address,lon,lat
"Flat 8, 33 Lochrin Place, Tollcross, Edinburgh, EH3 9RB",-3.2052296,55.9423505
"2f1, 64 Henderson Row, Stockbridge, Edinburgh, EH3 5BJ",-3.2059167,55.9599417
"32 Carlyle Place, Abbeyhill, Edinburgh, EH7 5RY",-3.1680201,55.9580873
"3f2, 9 Hermand Crescent, Polwarth, Edinburgh, EH11 1QP",-3.233391,55.9333431
"4 St Peter's Place, Viewforth, Edinburgh, EH3 9PJ",-3.2128785,55.9400134
"Flat 2, 21 York Lane, Broughton, Edinburgh, EH1 3HY",-3.1891122,55.9571099
"Flat 8, 4 Carrubber's Close, Old Town, Edinburgh, EH1 1SJ",-3.1870751,55.9506364
"1f2, 38 Cockburn Street, Old Town, Edinburgh, EH1 1PB",-3.1891928,55.9505183
"2 Newlands Park, Newington, Edinburgh, EH9 2DL",-3.1721729,55.9328712
"21 Dean Park Mews, Stockbridge, Edinburgh, EH4 1EE",-3.2155755,55.9579669
"2f1, 18 Spittal Street, Old Town, Edinburgh, EH3 9DT",-3.2027228,55.9464057
"2f1, 4 Albion Terrace, Leith, Edinburgh, EH7 5QX",-3.1677387,55.9609379
"Flat 1, 1 Rodney Place, Broughton, Edinburgh, EH7 4FR",-3.1961225,55.9614727
"Flat 1, 2 Edmonstone's Close, Old Town, Edinburgh, EH1 2HB",-3.1940317,55.9480451
"Flat 1, 38 Barony Street, Broughton, Edinburgh, EH3 6NY",-3.1921717,55.9579527
"Flat 1, 9 Dudley Avenue South, Newhaven, Edinburgh, EH6 4PH",-3.1860219,55.9747755
"Flat 4, 1 Powderhall Brae, Warriston, Edinburgh, EH7 4GD",-3.194925,55.9670494
"Flat 4, 20 Salamander Place, South Leith, Edinburgh, EH6 7JW",-3.1620945,55.9733607
"Flat 8, 14 Colonsay Close, Granton, Edinburgh, EH5 1BF",-3.2531109,55.976296
"Pf1, 1 Viewforth Square, Viewforth, Edinburgh, EH10 4LP",-3.2101668,55.938787
"28b Clarence Street, Stockbridge, Edinburgh, EH3 5AF",-3.2055758,55.9587187
"2f1, 4 Lorne Place, Leith, Edinburgh, EH6 8QT",-3.1735384,55.9667468
"3f, 4 Baxter's Place, Greenside, Edinburgh, EH1 3AF",-3.1846521,55.9574673
"3f3, 4 Northumberland Place, New Town, Edinburgh, EH3 6LQ",-3.1958775,55.9573186
"Flat 2, 3 Newhaven Place, Newhaven, Edinburgh, EH6 4TW",-3.1932983,55.9813176
"Flat 3, 127 Stenhouse Drive, Saughton, Edinburgh, EH11 3NG",-3.2715625,55.9321488
"119 Moira Terrace, Craigentinny, Edinburgh, EH7 6UB",-3.1298593,55.9569977
